CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,75,0.00331446701721564,1
12,13,76,0.00330608157875102,1
12,14,77,0.00330703330413743,1
12,15,76,0.0033045767021595,1
12,16,76,0.00330538866055487,1
12,17,76,0.00330536639674548,1
12,18,76,0.00330516701273655,1
13,12,48,0.00181976472782469,1
13,13,49,0.00184788476426717,1
13,14,48,0.00184664764025634,1
13,15,49,0.00184677268533023,1
13,16,49,0.00184381868627013,1
13,17,49,0.00184454299608633,1
13,18,49,0.00184458446836564,1
14,12,26,0.000872280319256727,0
14,13,26,0.000814786381243859,0
14,14,23,0.000772832516454346,0
14,15,23,0.00077475869684572,0
14,16,22,0.000772225136219457,0
14,17,22,0.000771982719996524,0
14,18,23,0.00077226621956575,0
15,12,13,0.000519056384744805,0
15,13,7,0.000382751070917699,0
15,14,5,0.000338316912565666,0
15,15,5,0.000332594917056687,0
15,16,5,0.000330432129564134,0
15,17,5,0.000330178202650214,0
15,18,5,0.000330544565158227,0
16,12,5,0.000321229069614491,0
16,13,5,0.000276485402345548,0
16,14,1,0.000211277484972799,0
16,15,0,0.000188840510976189,0
16,16,1,0.000179847048711716,0
16,17,1,0.000180358121631924,0
16,18,1,0.000180312348735988,0
17,12,5,0.000306877360258618,0
17,13,2,0.000213479434732234,0
17,14,1,0.000119509907105899,0
17,15,0,8.30968644385811e-05,0
17,16,0,8.87426496829747e-05,0
17,17,0,8.46819133945099e-05,0
17,18,0,8.50637725819874e-05,0
18,12,9,0.000360717495352562,0
18,13,1,0.000173381509190835,0
18,14,0,8.55498810395142e-05,0
18,15,0,5.98408661269544e-05,0
18,16,0,5.50233226022012e-05,0
18,17,0,5.18304340198074e-05,0
18,18,0,4.94757295617832e-05,0
