CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,72,0.00292681708490361,1
12,13,73,0.00293984910576967,1
12,14,73,0.00292693044375322,1
12,15,73,0.00292905914215634,1
12,16,73,0.00293158836608707,1
12,17,73,0.0029308442753798,1
12,18,73,0.00293101570839753,1
12,19,73,0.00293071498748291,1
12,20,73,0.00293073157682249,1
13,12,48,0.00179154315096091,1
13,13,46,0.00174422407120053,1
13,14,47,0.00174812686606277,1
13,15,47,0.00174706210257547,1
13,16,46,0.00174881169872726,1
13,17,46,0.00174908215225607,1
13,18,46,0.00174900185997192,1
13,19,46,0.0017488289698279,1
13,20,46,0.00174887591211247,1
14,12,19,0.00076086558758149,0
14,13,23,0.000762745231096615,0
14,14,24,0.00073711871249375,0
14,15,24,0.000733686761382402,0
14,16,23,0.000734345803743325,0
14,17,23,0.000734844140768492,0
14,18,23,0.000734650203805568,0
14,19,23,0.000734113023365922,0
14,20,23,0.000734262897751711,0
15,12,10,0.000435711755305006,0
15,13,3,0.000344345397156221,0
15,14,5,0.000324178396635105,0
15,15,2,0.000305119351357811,0
15,16,2,0.000305232967766527,0
15,17,2,0.000304038547659878,0
15,18,2,0.000304614421384649,0
15,19,2,0.000304357756941556,0
15,20,2,0.000304536210208313,0
16,12,4,0.000311386388511844,0
16,13,3,0.000253031515267776,0
16,14,2,0.000211629354490523,0
16,15,1,0.000203005024056972,0
16,16,2,0.000188882356986725,0
16,17,2,0.000187826217388493,0
16,18,2,0.000188484674092497,0
16,19,2,0.000188604248205367,0
16,20,2,0.000188439818679803,0
17,12,5,0.00027652751065181,0
17,13,2,0.000184950607304277,0
17,14,0,0.000114383719428416,0
17,15,0,0.000110533562771378,0
17,16,0,9.62930111622413e-05,0
17,17,0,9.95345231630139e-05,0
17,18,0,9.96997777015091e-05,0
17,19,0,9.9635954654695e-05,0
17,20,0,9.96042316765369e-05,0
18,12,8,0.000312347007648204,0
18,13,1,0.000155901398035533,0
18,14,0,9.35798530121328e-05,0
18,15,0,6.90807792883846e-05,0
18,16,0,6.34819853016139e-05,0
18,17,0,6.33395540685198e-05,0
18,18,0,6.00351105135129e-05,0
18,19,0,5.9780829951101e-05,0
18,20,0,5.99545940727713e-05,0
19,12,5,0.000285479063593526,0
19,13,1,0.000167621932532563,0
19,14,1,8.98274322812713e-05,0
19,15,1,6.59812611676575e-05,0
19,16,0,5.56293944310991e-05,0
19,17,0,5.2390279566712e-05,0
19,18,0,5.39806636377204e-05,0
19,19,0,5.22819209129429e-05,0
19,20,0,5.22069343732349e-05,0
20,12,5,0.000278025769339091,0
20,13,1,0.000159207231633791,0
20,14,0,9.01939624663867e-05,0
20,15,1,5.97077018738446e-05,0
20,16,0,4.52391458229428e-05,0
20,17,0,4.4100919230383e-05,0
20,18,0,4.63644770731464e-05,0
20,19,0,4.43268076204046e-05,0
20,20,0,4.46616509178379e-05,0
