CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,75,0.00330687788219596,1
12,13,76,0.00330472647487997,1
12,14,76,0.00330242416183512,1
12,15,76,0.00330592504833097,1
12,16,76,0.0033052802507637,1
12,17,76,0.00330488253855737,1
12,18,76,0.00330534091873198,1
12,19,76,0.00330518372141076,1
12,20,76,0.0033051771251161,1
13,12,50,0.00182552694441471,1
13,13,48,0.00184386624825948,1
13,14,49,0.00184868858372321,1
13,15,49,0.00184506379409777,1
13,16,49,0.0018447672289061,1
13,17,49,0.00184469086920257,1
13,18,49,0.00184432975346024,1
13,19,49,0.00184459232017718,1
13,20,49,0.00184456836400491,1
14,12,25,0.00085919605317859,0
14,13,25,0.000815980488759921,0
14,14,22,0.000772507551496189,0
14,15,23,0.000773114098453291,0
14,16,22,0.000771422544627336,0
14,17,22,0.000772737155828357,0
14,18,22,0.000772195633903307,0
14,19,22,0.000772007699244741,0
14,20,22,0.000772107561730235,0
15,12,11,0.00048385913233304,0
15,13,7,0.000377506948368634,0
15,14,5,0.000336902483073371,0
15,15,5,0.000332196521454438,0
15,16,5,0.000330606046910749,0
15,17,5,0.00033001508844694,0
15,18,5,0.00033059540870838,0
15,19,5,0.000330300127923717,0
15,20,5,0.000330329468451403,0
16,12,6,0.000311698468581992,0
16,13,4,0.000266809928576574,0
16,14,1,0.000205584320938465,0
16,15,0,0.000188087504989277,0
16,16,1,0.000180535849957707,0
16,17,1,0.000180221957141472,0
16,18,1,0.000180089960653839,0
16,19,1,0.000180079231721481,0
16,20,1,0.000180105772939363,0
17,12,4,0.000271847809938675,0
17,13,1,0.000195769017976171,0
17,14,1,0.000109229822144984,0
17,15,0,8.10375056866207e-05,0
17,16,0,8.64893410829811e-05,0
17,17,0,8.5018620256048e-05,0
17,18,0,8.50245354313637e-05,0
17,19,0,8.49943070700635e-05,0
17,20,0,8.50594893102132e-05,0
18,12,7,0.000319286357719909,0
18,13,1,0.000158481375584368,0
18,14,0,7.89463444368174e-05,0
18,15,0,5.66112273017204e-05,0
18,16,0,5.45448157470418e-05,0
18,17,0,5.22298008802352e-05,0
18,18,0,4.94625855163675e-05,0
18,19,0,4.94196090961761e-05,0
18,20,0,4.9458857592463e-05,0
19,12,4,0.000256450742227389,0
19,13,1,0.000156762582936103,0
19,14,0,7.28687174795276e-05,0
19,15,0,4.06832866088692e-05,0
19,16,0,3.90320778694126e-05,0
19,17,0,3.33823691458624e-05,0
19,18,0,3.210970591346e-05,0
19,19,0,3.09738920322991e-05,0
19,20,0,3.09395910955644e-05,0
20,12,4,0.000280724838152199,0
20,13,2,0.000163487741958548,0
20,14,0,8.52074470194449e-05,0
20,15,0,3.63865716795413e-05,0
20,16,0,3.11427133177617e-05,0
20,17,0,2.81374149702592e-05,0
20,18,0,2.47628233442365e-05,0
20,19,0,2.4488969499297e-05,0
20,20,0,2.42831004732473e-05,0
