CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,70,0.00267518770205164,1
12,13,69,0.00268940265436012,1
12,14,71,0.00268619349451677,1
12,15,71,0.00268821703064479,1
12,16,71,0.00268630036150119,1
12,17,71,0.00268703124538965,1
12,18,71,0.00268689139027851,1
12,19,71,0.00268699385872162,1
12,20,71,0.00268688134497654,1
13,12,53,0.00170161518632609,1
13,13,53,0.00162511763238593,1
13,14,54,0.00163588342302183,1
13,15,54,0.0016360242789784,1
13,16,54,0.0016354023353185,1
13,17,54,0.00163688807301776,1
13,18,54,0.00163621549668085,1
13,19,54,0.00163644972052884,1
13,20,54,0.00163631843339975,1
14,12,25,0.000903971449273971,0
14,13,25,0.000799429304330675,0
14,14,24,0.000788415123144183,0
14,15,26,0.000789503873604087,0
14,16,26,0.000787570173792972,0
14,17,26,0.000786860583978402,0
14,18,26,0.000786924992134253,0
14,19,26,0.000787178803974212,0
14,20,26,0.000787078715496891,0
15,12,16,0.000591775994964852,0
15,13,13,0.000501969025056547,0
15,14,14,0.000490394323158165,0
15,15,12,0.000479171023896595,0
15,16,12,0.000480259713130386,0
15,17,12,0.000478925832362206,0
15,18,12,0.000479465532862,0
15,19,12,0.000479478131464537,0
15,20,12,0.000479510366870946,0
16,12,13,0.000505581457522278,0
16,13,9,0.000450080466712892,0
16,14,9,0.000418318739922375,0
16,15,9,0.000403712144031555,0
16,16,10,0.000401301403200649,0
16,17,10,0.000399580469542142,0
16,18,10,0.000399977656235298,0
16,19,10,0.000400029020901707,0
16,20,10,0.000400079811578022,0
17,12,13,0.000486121819584521,0
17,13,8,0.000438387660903133,0
17,14,9,0.00037716123759489,0
17,15,10,0.000380963627041934,0
17,16,8,0.00037590219245946,0
17,17,9,0.00037754149102165,0
17,18,9,0.000376791727180737,0
17,19,9,0.000377338294182692,0
17,20,9,0.000377189648092255,0
18,12,13,0.000472497686481377,0
18,13,5,0.000377946890586882,0
18,14,7,0.000356935951959285,0
18,15,9,0.000372903790413425,0
18,16,8,0.000360672529364434,0
18,17,7,0.000353608150554468,0
18,18,8,0.000355337651749788,0
18,19,8,0.000354992384504135,0
18,20,8,0.000355205038536937,0
19,12,16,0.000516465784969399,0
19,13,7,0.000399362451584263,0
19,14,9,0.000406740857400839,0
19,15,9,0.000380585063608279,0
19,16,9,0.000379977391533072,0
19,17,9,0.000381106698227069,0
19,18,8,0.000378713548902472,0
19,19,8,0.000378735797053671,0
19,20,8,0.000378818686366322,0
20,12,13,0.00047927051790229,0
20,13,5,0.000372726876161884,0
20,14,8,0.000387202571235242,0
20,15,7,0.000359112718061729,0
20,16,8,0.000360651771341135,0
20,17,8,0.000363413279258019,0
20,18,8,0.00036386840558445,0
20,19,7,0.000362342742537239,0
20,20,7,0.000362305101230427,0
