CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,76,0.00352282959905432,1
12,13,76,0.00352424799536628,1
12,14,76,0.00351815808915072,1
12,15,76,0.00352218332534861,1
12,16,76,0.00352116258963474,1
12,17,76,0.00352136162824301,1
12,18,76,0.00352107022945414,1
12,19,76,0.00352117986731524,1
12,20,76,0.00352117570778708,1
13,12,46,0.00191506386988533,1
13,13,46,0.00184015349487535,1
13,14,44,0.00184274297552788,1
13,15,45,0.00184016356026982,1
13,16,45,0.00184072678900771,1
13,17,45,0.00184117327351673,1
13,18,45,0.00184128905856948,1
13,19,45,0.0018414031884024,1
13,20,45,0.00184134678046872,1
14,12,24,0.000950044422831285,0
14,13,25,0.00100217191103812,1
14,14,22,0.000921442059751728,0
14,15,22,0.000921068519439082,0
14,16,22,0.000922630821950828,0
14,17,22,0.000922537371312339,0
14,18,22,0.00092235302079938,0
14,19,22,0.00092235734755599,0
14,20,22,0.000922406920210332,0
15,12,12,0.000508140242825315,0
15,13,6,0.00039712749729984,0
15,14,8,0.000408799896263193,0
15,15,7,0.000376174073776975,0
15,16,7,0.00037729101803789,0
15,17,7,0.000376731912481363,0
15,18,7,0.000376640807905087,0
15,19,7,0.000376708177170126,0
15,20,7,0.000376651237587767,0
16,12,9,0.000359088137378448,0
16,13,2,0.000228681979967522,0
16,14,3,0.000243251771792014,0
16,15,3,0.000213776444907157,0
16,16,2,0.000209226948819678,0
16,17,2,0.000209990255700206,0
16,18,2,0.000209353452497751,0
16,19,2,0.000209349311446726,0
16,20,2,0.000209363148426737,0
17,12,5,0.000302354808716112,0
17,13,0,0.00015159163591244,0
17,14,0,0.000108110551952515,0
17,15,0,8.86837364056481e-05,0
17,16,0,8.46598876724254e-05,0
17,17,0,8.42782279580121e-05,0
17,18,0,8.36644808372916e-05,0
17,19,0,8.34632440305633e-05,0
17,20,0,8.35839248665897e-05,0
18,12,6,0.000310779900926867,0
18,13,0,0.000144596313421579,0
18,14,0,8.60284204544001e-05,0
18,15,0,5.41772634199628e-05,0
18,16,0,4.67518705364236e-05,0
18,17,0,4.80193811927161e-05,0
18,18,0,4.4877855219457e-05,0
18,19,0,4.45744185595067e-05,0
18,20,0,4.45894183652074e-05,0
19,12,4,0.000255486227846549,0
19,13,1,0.000132344620579245,0
19,14,0,6.55835643980125e-05,0
19,15,0,3.95127443285382e-05,0
19,16,0,3.15122358144593e-05,0
19,17,0,2.55988415929641e-05,0
19,18,0,2.60009242387547e-05,0
19,19,0,2.54510437492498e-05,0
19,20,0,2.55953159289039e-05,0
20,12,3,0.000247254444031787,0
20,13,0,0.000118382128541322,0
20,14,0,6.14474028296787e-05,0
20,15,0,3.96968614260864e-05,0
20,16,0,3.02913001731704e-05,0
20,17,0,2.37742295552132e-05,0
20,18,0,2.06258938356798e-05,0
20,19,0,1.99123091440331e-05,0
20,20,0,2.03097190053034e-05,0
