CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,70,0.00292879782712757,1
12,13,74,0.00294553106808423,1
12,14,73,0.00292940812731912,1
12,15,73,0.00292930183805619,1
12,16,73,0.00293092701898486,1
12,17,73,0.00293089408548661,1
12,18,73,0.00293073339221391,1
13,12,46,0.00178297581245006,1
13,13,47,0.00174393915603674,1
13,14,46,0.0017507356409138,1
13,15,47,0.00174960415364208,1
13,16,46,0.0017497279495781,1
13,17,47,0.00174840327678006,1
13,18,46,0.0017489991911709,1
14,12,21,0.000759921825438839,0
14,13,23,0.00075588808629423,0
14,14,24,0.00074113126702348,0
14,15,25,0.000734364869754281,0
14,16,22,0.000733866367093702,0
14,17,23,0.000734403894350648,0
14,18,23,0.00073489792051431,0
15,12,11,0.000478796971778657,0
15,13,3,0.000349185375952487,0
15,14,5,0.000326139750431193,0
15,15,2,0.000303723391828986,0
15,16,2,0.000304947842897524,0
15,17,2,0.000304160172674494,0
15,18,2,0.000304455227817093,0
16,12,6,0.000330094449631473,0
16,13,4,0.000263335479937195,0
16,14,2,0.000212766224519265,0
16,15,1,0.000205684328231083,0
16,16,2,0.000187194712353408,0
16,17,2,0.000188123621460147,0
16,18,2,0.000188459418898716,0
17,12,5,0.000321446473439021,0
17,13,2,0.000191391148101457,0
17,14,0,0.000127672952229275,0
17,15,0,0.000113361928878694,0
17,16,0,9.75403832979778e-05,0
17,17,0,9.97418205147919e-05,0
17,18,0,9.99921828101463e-05,0
18,12,9,0.000359280851032246,0
18,13,1,0.000179510220140694,0
18,14,0,9.90840302277554e-05,0
18,15,0,7.21608931357487e-05,0
18,16,0,6.48087871343607e-05,0
18,17,0,6.38603202256987e-05,0
18,18,0,6.0341035304588e-05,0
