CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,75,0.00360658154604982,1
12,13,75,0.00360211019075631,1
12,14,75,0.00359973298370346,1
12,15,75,0.00359619641046321,1
12,16,75,0.00359836486260427,1
12,17,75,0.00359755686070926,1
12,18,75,0.00359765365484543,1
12,19,75,0.00359757264338985,1
12,20,75,0.00359760308928589,1
13,12,42,0.00185952313502738,1
13,13,43,0.00179343619355291,1
13,14,42,0.00178880627013964,1
13,15,42,0.00179002931594821,1
13,16,42,0.00179107582782853,1
13,17,42,0.00179130765007984,1
13,18,42,0.00179118379424771,1
13,19,42,0.00179127718420673,1
13,20,42,0.00179120059467783,1
14,12,25,0.000898467654178935,0
14,13,22,0.000861080194486177,0
14,14,23,0.000851550338863,0
14,15,23,0.000847983517636367,0
14,16,23,0.000851049948845872,0
14,17,23,0.000849544397028385,0
14,18,23,0.000849811467011352,0
14,19,23,0.000849825787271786,0
14,20,23,0.0008497658485786,0
15,12,8,0.000496094560776125,0
15,13,9,0.000419213605631426,0
15,14,10,0.000421235885602998,0
15,15,9,0.000391200801837465,0
15,16,9,0.000394475192592407,0
15,17,9,0.000393814085674002,0
15,18,9,0.000393650304944599,0
15,19,9,0.000393654484749909,0
15,20,9,0.000393684356410306,0
16,12,9,0.000364812835335769,0
16,13,1,0.000214296261758921,0
16,14,3,0.000213125088875914,0
16,15,3,0.000201677055354071,0
16,16,2,0.000196305865874338,0
16,17,2,0.000196830724824866,0
16,18,2,0.000196147044146247,0
16,19,2,0.000196597597005436,0
16,20,2,0.000196502991116428,0
17,12,5,0.000305010728447949,0
17,13,0,0.00015629003801244,0
17,14,0,0.000117597821093169,0
17,15,0,0.00010821572386422,0
17,16,0,9.89088462548517e-05,0
17,17,0,9.84743568533612e-05,0
17,18,0,9.86195120454714e-05,0
17,19,0,9.86275191810163e-05,0
17,20,0,9.8560465101176e-05,0
18,12,4,0.000241637052239305,0
18,13,0,0.000133174712155574,0
18,14,0,9.74420862454901e-05,0
18,15,0,5.74310529842836e-05,0
18,16,0,5.38452391313402e-05,0
18,17,0,4.8865592939943e-05,0
18,18,0,4.89741263782383e-05,0
18,19,0,4.88721124750634e-05,0
18,20,0,4.89701004569044e-05,0
19,12,4,0.000252213658614831,0
19,13,2,0.000154166065251658,0
19,14,0,7.55084114413423e-05,0
19,15,0,4.86294140989253e-05,0
19,16,0,4.12696282392061e-05,0
19,17,0,3.12906205395472e-05,0
19,18,0,2.9395748237279e-05,0
19,19,0,3.00850095016191e-05,0
19,20,0,2.99984057158366e-05,0
20,12,3,0.00022769996022248,0
20,13,3,0.000151655059239986,0
20,14,0,7.52819254075458e-05,0
20,15,0,4.54387150513538e-05,0
20,16,0,2.64396954231353e-05,0
20,17,0,2.21894094345701e-05,0
20,18,0,2.24925769675386e-05,0
20,19,0,2.08995676197379e-05,0
20,20,0,2.0481171098532e-05,0
