CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,69,0.00304755640356959,1
12,13,68,0.00304290656523781,1
12,14,69,0.00304934842934104,1
12,15,68,0.00304601748452325,1
12,16,68,0.00304671103206121,1
12,17,68,0.00304682405536136,1
12,18,68,0.00304647811763748,1
12,19,68,0.0030463627686609,1
12,20,68,0.00304637630561793,1
13,12,45,0.00194736463067907,1
13,13,45,0.00192633692220105,1
13,14,45,0.00192285010603519,1
13,15,45,0.00192514260827542,1
13,16,45,0.0019254835108872,1
13,17,45,0.00192591465877348,1
13,18,45,0.00192602970649409,1
13,19,45,0.00192608439432544,1
13,20,45,0.00192597635777639,1
14,12,27,0.00101806513766405,1
14,13,29,0.0010332410841857,1
14,14,27,0.000990045376684907,0
14,15,28,0.000987340592623029,0
14,16,28,0.000986185689579182,0
14,17,28,0.000986821819372161,0
14,18,28,0.000986596376992374,0
14,19,28,0.000986754120135249,0
14,20,28,0.000986647659165971,0
15,12,20,0.000890270339558077,0
15,13,22,0.000845407355189521,0
15,14,23,0.000842935374249564,0
15,15,22,0.0008302915874515,0
15,16,22,0.000829768483294465,0
15,17,22,0.000829322298286873,0
15,18,22,0.000829352641282445,0
15,19,22,0.00082935395299378,0
15,20,22,0.00082926306791697,0
16,12,21,0.000907943351974414,0
16,13,22,0.000806966527927073,0
16,14,23,0.000854674193285951,0
16,15,23,0.000822026312109826,0
16,16,22,0.00082843977037337,0
16,17,22,0.000829335590831046,0
16,18,22,0.000829187477513767,0
16,19,22,0.000829399454012266,0
16,20,22,0.000829330496052276,0
17,12,22,0.00092825165119872,0
17,13,20,0.00081605815612734,0
17,14,21,0.000833492169069209,0
17,15,21,0.000839595087369255,0
17,16,21,0.000829978663002791,0
17,17,21,0.000832963477339874,0
17,18,21,0.000833349984216133,0
17,19,21,0.000833071870259927,0
17,20,21,0.000833078223370755,0
18,12,23,0.000979363261143135,0
18,13,22,0.00087132971352367,0
18,14,22,0.000864366523451279,0
18,15,23,0.000874191167569052,0
18,16,23,0.000861895887229148,0
18,17,23,0.000865677340237742,0
18,18,23,0.000865339280026358,0
18,19,23,0.000865589134939099,0
18,20,23,0.000865495131946391,0
19,12,24,0.000996840239795054,0
19,13,23,0.000872572584432038,0
19,14,23,0.00087558882370134,0
19,15,23,0.000873166196915442,0
19,16,23,0.000867454178274853,0
19,17,23,0.000869786223224548,0
19,18,23,0.00086797402248809,0
19,19,23,0.000869026976651654,0
19,20,23,0.000869002959878117,0
20,12,23,0.000960110015606541,0
20,13,21,0.000834802825476309,0
20,14,21,0.000844027082421476,0
20,15,23,0.000843850123554541,0
20,16,22,0.00083739191502663,0
20,17,22,0.000840107265421052,0
20,18,22,0.000839216605972996,0
20,19,22,0.000840153646007109,0
20,20,22,0.000839859344911722,0
