CORDIC_FWL,BACKSUB_FWL,RMSE_Indiv_Fail,RMSE_Total_Val,RMSE_Total_FailFlag
12,12,2,0.00323187356881414,1
12,13,3,0.00323816484444861,1
12,14,3,0.00322424812507866,1
12,15,3,0.00321452851581784,1
12,16,3,0.00322165496367933,1
12,17,3,0.00321922389203359,1
12,18,3,0.00322071092588833,1
13,12,2,0.00153705566882853,1
13,13,2,0.00129944835710285,1
13,14,2,0.00133138821942757,1
13,15,2,0.00132445408483599,1
13,16,2,0.00132768717875687,1
13,17,2,0.00132069817302375,1
13,18,2,0.00131969320936695,1
14,12,1,0.000800575078085131,0
14,13,1,0.000774536482679844,0
14,14,1,0.000758800061072228,0
14,15,1,0.000770862584810391,0
14,16,1,0.000768434571435542,0
14,17,1,0.000771861779322233,0
14,18,1,0.000771585675134899,0
15,12,1,0.00091484164843936,0
15,13,1,0.000818907704186902,0
15,14,1,0.000735598389501257,0
15,15,1,0.000778520160254774,0
15,16,1,0.000779352130773964,0
15,17,1,0.000778565919532618,0
15,18,1,0.000779728498766056,0
16,12,1,0.000949798920465889,0
16,13,1,0.000712700075756349,0
16,14,1,0.000782386006414195,0
16,15,1,0.000742322542015023,0
16,16,1,0.000764269959148264,0
16,17,1,0.00076180387590508,0
16,18,1,0.000762435904571301,0
17,12,1,0.00094062457979183,0
17,13,1,0.00076111513528447,0
17,14,1,0.000805614924979175,0
17,15,1,0.000768495899758867,0
17,16,1,0.000781409799899488,0
17,17,1,0.000787048118914793,0
17,18,1,0.00078577000985378,0
18,12,1,0.000968484958917082,0
18,13,1,0.000666941404246974,0
18,14,1,0.000701867280852764,0
18,15,1,0.000765500907636879,0
18,16,1,0.000766795343558014,0
18,17,1,0.000757615988231694,0
18,18,1,0.000760287902940888,0
